frame,tracker_id,vehicle_class,speed,acceleration,distance_to_nearest,direction_change,avg_traffic_speed,relative_speed,cluster,danger_label
114,1,car,45,-1.0,44.92,75.44,44.65,0.35,1,2
123,1,car,44,0.0,40.03,81.45,46.16,-2.16,1,2
127,1,car,45,0.0,38.79,73.65,44.4,0.6,1,2
128,1,car,45,0.0,37.61,88.7,44.3,0.7,1,2
135,1,car,41,-1.0,36.41,71.04,42.05,-1.05,1,2
141,1,car,33,-3.0,33.06,67.03,42.52,-9.52,1,2
146,1,car,31,-1.0,31.13,147.46,47.88,-16.88,1,2
151,1,car,30,-3.0,30.61,86.68,47.79,-17.79,1,2
154,1,car,30,-1.0,29.34,98.48,46.81,-16.81,1,2
156,1,car,31,3.0,29.77,93.38,45.81,-14.81,1,2
158,1,car,28,-1.0,27.83,66.18,42.36,-14.36,1,2
159,1,car,29,1.0,27.11,77.36,43.17,-14.17,1,2
169,1,car,30,2.0,26.47,101.8,48.07,-18.07,1,2
181,1,car,28,-1.0,23.18,127.39,46.26,-18.26,1,2
182,1,car,28,0.0,23.67,127.79,45.43,-17.43,1,2
184,1,car,25,-3.0,21.71,153.44,46.22,-21.22,1,2
185,1,car,23,-2.0,21.43,140.78,48.41,-25.41,1,2
187,1,car,30,3.0,21.93,83.73,45.55,-15.55,1,2
189,1,car,26,-3.0,21.75,68.47,46.11,-20.11,1,2
192,1,car,32,3.0,20.09,84.36,49.79,-17.79,1,2
195,1,car,29,-1.0,19.77,128.72,53.23,-24.23,1,2
198,1,car,24,-4.0,19.13,95.66,48.87,-24.87,1,2
199,1,car,21,-3.0,18.47,163.53,48.04,-27.04,1,2
201,1,car,24,2.0,18.6,147.29,50.14,-26.14,1,2
202,1,car,24,0.0,18.31,111.26,49.23,-25.23,1,2
206,1,car,22,-3.0,18.53,167.93,49.45,-27.45,1,2
207,1,car,24,2.0,18.23,86.05,49.68,-25.68,1,2
208,1,car,26,2.0,19.11,109.27,45.83,-19.83,1,2
213,1,car,22,1.0,15.97,103.88,43.52,-21.52,1,2
217,1,car,17,0.0,16.63,90.24,47.65,-30.65,1,2
221,1,car,17,-1.0,14.38,71.65,43.76,-26.76,1,2
224,1,car,24,4.0,15.9,132.8,41.35,-17.35,1,2
225,1,car,23,-1.0,16.18,170.56,40.77,-17.77,1,2
226,1,car,23,0.0,16.97,173.89,40.85,-17.85,1,2
227,1,car,21,-2.0,16.18,90.28,41.04,-20.04,1,2
229,1,car,19,-2.0,13.61,110.33,40.38,-21.38,1,2
230,1,car,24,5.0,15.6,156.45,39.96,-15.96,1,2
233,1,car,24,-1.0,15.33,100.25,38.04,-14.04,1,2
237,1,car,22,0.0,14.44,167.19,40.3,-18.3,1,2
238,1,car,21,-1.0,14.3,113.51,40.88,-19.88,1,2
245,1,car,14,-1.0,12.06,167.18,36.3,-22.3,1,2
247,1,car,14,-3.0,8.42,154.34,36.81,-22.81,1,2
121,2,car,32,-3.0,44.66,70.04,45.0,-13.0,1,2
128,2,car,28,-2.0,41.26,96.71,44.3,-16.3,1,2
130,2,car,28,-1.0,41.92,73.17,41.23,-13.23,1,2
150,2,car,27,1.0,37.38,73.75,48.38,-21.38,1,2
181,2,car,23,-3.0,31.1,73.07,46.26,-23.26,1,2
183,2,car,25,2.0,31.81,100.59,47.91,-22.91,1,2
184,2,car,26,1.0,30.81,69.74,46.22,-20.22,1,2
199,2,car,24,0.0,29.97,65.25,48.04,-24.04,1,2
215,2,car,19,3.0,26.59,71.63,45.64,-26.64,1,2
218,2,car,17,-1.0,26.67,78.35,46.22,-29.22,1,2
219,2,car,18,1.0,26.14,100.3,46.04,-28.04,1,2
227,2,car,12,-1.0,23.41,98.07,41.04,-29.04,1,2
233,2,car,14,0.0,22.14,72.87,38.04,-24.04,1,2
238,2,car,19,0.0,20.17,99.46,40.88,-21.88,1,2
242,2,car,16,4.0,20.64,97.9,42.33,-26.33,1,2
245,2,car,14,-4.0,19.17,160.49,36.3,-22.3,1,2
143,5,car,28,-8.0,31.07,142.25,43.86,-15.86,1,2
144,5,car,28,0.0,31.44,76.01,44.64,-16.64,1,2
180,5,car,28,-3.0,27.63,64.29,50.71,-22.71,1,2
183,5,car,26,2.0,27.84,103.24,47.91,-21.91,1,2
185,5,car,28,2.0,27.81,82.53,48.41,-20.41,1,2
186,5,car,29,1.0,27.74,148.22,45.85,-16.85,1,2
199,5,car,25,-1.0,26.55,87.23,48.04,-23.04,1,2
200,5,car,26,1.0,26.43,94.05,50.05,-24.05,1,2
210,5,car,15,-2.0,26.24,77.19,43.0,-28.0,1,2
215,5,car,18,1.0,25.77,65.24,45.64,-27.64,1,2
217,5,car,18,0.0,25.23,119.21,47.65,-29.65,1,2
222,5,car,19,-2.0,25.21,64.59,42.15,-23.15,1,2
223,5,car,22,3.0,25.59,73.44,41.96,-19.96,1,2
225,5,car,22,0.0,25.38,90.15,40.77,-18.77,1,2
239,5,car,20,-2.0,23.13,60.45,40.31,-20.31,1,2
253,5,car,18,0.0,22.55,67.73,41.85,-23.85,1,2
254,5,car,19,1.0,22.8,67.55,41.74,-22.74,1,2
260,5,car,16,-1.0,22.69,77.91,39.0,-23.0,1,2
261,5,car,14,-2.0,22.57,79.52,40.39,-26.39,1,2
263,5,car,20,8.0,22.59,153.97,38.61,-18.61,1,2
272,5,car,15,0.0,22.53,126.56,37.16,-22.16,1,2
276,5,car,19,-1.0,20.7,134.26,40.26,-21.26,1,2
279,5,car,14,0.0,20.74,69.03,38.29,-24.29,1,2
281,5,car,15,1.0,22.16,100.8,36.54,-21.54,1,2
282,5,car,15,0.0,21.87,71.75,38.22,-23.22,1,2
286,5,car,23,2.0,21.81,163.07,37.96,-14.96,1,2
287,5,car,16,-7.0,21.47,104.01,34.59,-18.59,1,2
302,5,car,33,0.0,22.47,87.67,40.48,-7.48,1,2
305,5,car,28,-1.0,23.19,148.9,39.37,-11.37,1,2
318,5,car,27,-1.0,23.37,121.99,36.61,-9.61,1,2
319,5,car,27,0.0,22.75,142.98,36.71,-9.71,1,2
323,5,car,21,-4.0,21.07,135.75,34.97,-13.97,1,2
326,5,car,7,-14.0,22.0,167.08,36.11,-29.11,1,2
38,7,car,20,-1.0,30.42,63.17,51.7,-31.7,1,2
48,7,car,19,-2.0,29.68,160.65,50.0,-31.0,1,2
49,7,car,19,0.0,29.45,131.37,49.95,-30.95,1,2
50,7,car,18,-1.0,29.24,68.43,51.67,-33.67,1,2
68,7,car,21,1.0,24.23,66.73,44.63,-23.63,1,2
69,7,car,21,0.0,24.36,66.52,44.84,-23.84,1,2
82,7,car,19,-2.0,26.35,88.08,43.71,-24.71,1,2
84,7,car,18,-1.0,26.81,131.1,43.95,-25.95,1,2
86,7,car,19,1.0,25.95,75.96,43.67,-24.67,1,2
