frame,tracker_id,vehicle_class,speed,acceleration,distance_to_nearest,direction_change,avg_traffic_speed,relative_speed,cluster,danger_label
17,1,car,82,0.0,95.4,9.96,48.29,33.71,2,1
18,1,car,82,0.0,94.06,0.9,47.76,34.24,2,1
19,1,car,82,0.0,91.86,5.4,47.9,34.1,2,1
20,1,car,81,-1.0,91.64,12.6,47.62,33.38,2,1
21,1,car,81,0.0,91.02,5.26,47.57,33.43,2,1
22,1,car,81,0.0,89.36,5.45,46.6,34.4,2,1
23,1,car,81,0.0,87.98,0.92,50.27,30.73,2,1
24,1,car,80,-1.0,86.24,5.85,51.52,28.48,2,1
25,1,car,80,0.0,85.41,21.95,53.24,26.76,2,1
26,1,car,80,0.0,84.66,5.07,51.48,28.52,2,1
27,1,car,78,-2.0,83.25,9.76,55.14,22.86,2,1
28,1,car,78,0.0,82.67,2.69,53.27,24.73,2,1
29,1,car,77,-1.0,82.13,6.32,53.05,23.95,2,1
30,1,car,77,0.0,81.37,6.9,53.5,23.5,2,1
31,1,car,76,-1.0,80.39,5.26,53.7,22.3,2,1
32,1,car,75,-1.0,79.86,12.69,53.95,21.05,2,1
33,1,car,74,-1.0,79.09,15.52,56.47,17.53,2,1
34,1,car,74,0.0,76.8,1.1,56.79,17.21,2,1
36,1,car,72,-1.0,76.18,5.39,54.68,17.32,2,1
37,1,car,71,-1.0,76.08,4.3,51.65,19.35,2,1
38,1,car,72,1.0,74.93,26.79,51.7,20.3,2,1
41,1,car,68,0.0,73.22,3.5,48.0,20.0,2,1
17,4,car,82,0.0,80.14,8.41,48.29,33.71,2,1
18,4,car,82,0.0,82.42,5.07,47.76,34.24,2,1
19,4,car,83,1.0,84.82,15.8,47.9,35.1,2,1
20,4,car,83,0.0,86.02,12.32,47.62,35.38,2,1
21,4,car,83,0.0,88.29,11.91,47.57,35.43,2,1
22,4,car,84,1.0,90.82,4.93,46.6,37.4,2,1
23,4,car,82,-2.0,91.52,16.97,50.27,31.73,2,1
24,4,car,82,0.0,93.39,18.86,51.52,30.48,2,1
25,4,car,83,1.0,96.32,9.69,53.24,29.76,2,1
26,4,car,82,-1.0,98.77,1.39,51.48,30.52,2,1
27,4,car,82,0.0,101.5,7.57,55.14,26.86,2,1
28,4,car,83,1.0,104.36,1.57,53.27,29.73,2,1
29,4,car,83,0.0,106.12,9.55,53.05,29.95,2,1
30,4,car,83,0.0,109.31,3.18,53.5,29.5,2,1
31,4,car,83,0.0,111.51,7.86,53.7,29.3,2,1
32,4,car,83,0.0,113.95,22.11,53.95,29.05,2,1
33,4,car,85,2.0,116.58,19.61,56.47,28.53,2,1
34,4,car,83,-2.0,118.96,17.61,56.79,26.21,2,1
35,4,car,84,1.0,122.35,24.44,58.21,25.79,2,1
36,4,car,83,-1.0,125.74,8.66,54.68,28.32,2,1
37,4,car,81,-2.0,128.94,9.37,51.65,29.35,2,1
38,4,car,82,1.0,131.71,4.27,51.7,30.3,2,1
39,4,car,82,0.0,134.76,0.88,50.95,31.05,2,1
40,4,car,84,2.0,138.47,2.17,50.0,34.0,2,1
41,4,car,85,1.0,143.19,0.08,48.0,37.0,2,1
42,4,car,84,-1.0,145.88,0.55,47.95,36.05,2,1
43,4,car,84,0.0,149.58,0.52,49.05,34.95,2,1
44,4,car,84,0.0,153.01,1.18,49.94,34.06,2,1
45,4,car,84,0.0,157.44,2.23,50.94,33.06,2,1
46,4,car,83,-1.0,161.99,8.47,53.28,29.72,2,1
47,4,car,86,3.0,166.76,5.94,50.21,35.79,2,1
48,4,car,86,0.0,171.02,0.63,50.0,36.0,2,1
49,4,car,86,0.0,175.69,0.4,49.95,36.05,2,1
50,4,car,87,1.0,180.63,1.49,51.67,35.33,2,1
51,4,car,88,1.0,186.4,4.57,54.71,33.29,2,1
52,4,car,87,-1.0,191.09,1.08,51.39,35.61,2,1
53,4,car,87,0.0,196.15,8.55,52.41,34.59,2,1
54,4,car,88,1.0,202.12,14.41,49.63,38.37,2,1
55,4,car,88,0.0,208.15,8.97,49.63,38.37,2,1
56,4,car,89,1.0,214.51,1.77,50.44,38.56,2,1
57,4,car,89,0.0,220.95,7.86,49.95,39.05,2,1
58,4,car,90,1.0,227.02,11.37,49.11,40.89,2,1
59,4,car,90,0.0,234.51,1.09,49.67,40.33,2,1
60,4,car,90,0.0,240.88,1.45,48.95,41.05,2,1
61,4,car,92,2.0,246.63,0.47,46.33,45.67,2,1
62,4,car,93,1.0,254.31,2.86,45.78,47.22,2,1
63,4,car,92,-1.0,263.24,9.37,45.33,46.67,2,1
64,4,car,93,1.0,273.21,9.44,44.58,48.42,2,1
65,4,car,93,0.0,281.94,3.6,44.95,48.05,2,1
66,4,car,94,1.0,290.62,2.0,43.89,50.11,2,1
67,4,car,94,0.0,300.46,1.72,44.84,49.16,2,1
68,4,car,96,2.0,310.41,0.14,44.63,51.37,2,1
69,4,car,96,0.0,319.56,4.58,44.84,51.16,2,1
70,4,car,97,1.0,330.56,4.94,44.42,52.58,2,1
71,4,car,99,2.0,343.01,0.96,44.53,54.47,2,1
72,4,car,98,-1.0,354.32,7.58,44.05,53.95,2,1
73,4,car,99,1.0,361.29,14.8,43.53,55.47,2,1
74,4,car,100,1.0,358.15,5.32,43.95,56.05,2,1
75,4,car,100,0.0,395.44,3.51,41.2,58.8,2,1
76,4,car,101,1.0,409.88,1.02,43.37,57.63,2,1
77,4,car,103,2.0,425.65,4.0,44.81,58.19,2,1
78,4,car,104,1.0,441.18,2.48,44.9,59.1,2,1
79,4,car,104,0.0,458.3,1.59,44.67,59.33,2,1
80,4,car,105,1.0,477.1,3.6,44.19,60.81,2,1
81,4,car,106,1.0,494.87,6.53,44.19,61.81,2,1
17,5,car,60,0.0,179.9,2.75,48.29,11.71,2,1
18,5,car,59,-1.0,177.58,1.87,47.76,11.24,2,1
19,5,car,59,0.0,175.32,4.27,47.9,11.1,2,1
20,5,car,59,0.0,172.6,2.14,47.62,11.38,2,1
21,5,car,59,0.0,170.02,11.66,47.57,11.43,2,1
22,5,car,59,0.0,168.52,11.11,46.6,12.4,2,1
23,5,car,60,1.0,167.02,5.68,50.27,9.73,2,1
24,5,car,59,-1.0,164.74,7.14,51.52,7.48,2,1
25,5,car,58,-1.0,162.78,0.98,53.24,4.76,2,1
26,5,car,58,0.0,160.95,7.94,51.48,6.52,2,1
