frame,tracker_id,vehicle_class,speed,acceleration,distance_to_nearest,direction_change,avg_traffic_speed,relative_speed
17,1,car,82,0.0,95.4,9.96,48.29,33.71
18,1,car,82,0.0,94.06,0.9,47.76,34.24
19,1,car,82,0.0,91.86,5.4,47.9,34.1
20,1,car,81,-1.0,91.64,12.6,47.62,33.38
21,1,car,81,0.0,91.02,5.26,47.57,33.43
22,1,car,81,0.0,89.36,5.45,46.6,34.4
23,1,car,81,0.0,87.98,0.92,50.27,30.73
24,1,car,80,-1.0,86.24,5.85,51.52,28.48
25,1,car,80,0.0,85.41,21.95,53.24,26.76
26,1,car,80,0.0,84.66,5.07,51.48,28.52
27,1,car,78,-2.0,83.25,9.76,55.14,22.86
28,1,car,78,0.0,82.67,2.69,53.27,24.73
29,1,car,77,-1.0,82.13,6.32,53.05,23.95
30,1,car,77,0.0,81.37,6.9,53.5,23.5
31,1,car,76,-1.0,80.39,5.26,53.7,22.3
32,1,car,75,-1.0,79.86,12.69,53.95,21.05
33,1,car,74,-1.0,79.09,15.52,56.47,17.53
34,1,car,74,0.0,76.8,1.1,56.79,17.21
35,1,car,73,-1.0,76.14,14.36,58.21,14.79
36,1,car,72,-1.0,76.18,5.39,54.68,17.32
37,1,car,71,-1.0,76.08,4.3,51.65,19.35
38,1,car,72,1.0,74.93,26.79,51.7,20.3
39,1,car,69,-3.0,75.15,39.8,50.95,18.05
40,1,car,68,-1.0,74.39,33.44,50.0,18.0
41,1,car,68,0.0,73.22,3.5,48.0,20.0
42,1,car,67,-1.0,72.33,12.12,47.95,19.05
43,1,car,65,-2.0,72.48,22.58,49.05,15.95
44,1,car,66,1.0,70.84,5.55,49.94,16.06
45,1,car,66,0.0,70.94,0.57,50.94,15.06
46,1,car,65,-1.0,70.2,7.84,53.28,11.72
47,1,car,64,-1.0,69.82,0.33,50.21,13.79
48,1,car,65,1.0,69.97,19.99,50.0,15.0
49,1,car,64,-1.0,69.75,10.85,49.95,14.05
50,1,car,63,-1.0,69.2,14.78,51.67,11.33
51,1,car,62,-1.0,68.32,8.08,54.71,7.29
52,1,car,62,0.0,66.86,19.41,51.39,10.61
