tracker_id,vehicle_class,speed_mean,speed_max,speed_min,speed_std,acceleration_mean,acceleration_max,acceleration_min,acceleration_std,distance_mean,distance_min,direction_change_mean,direction_change_max,relative_speed_mean,relative_speed_max,relative_speed_min,frames_count
1,car,41.52,82,14,18.16,-0.3,5.0,-5.0,1.62,41.7,8.42,37.52,173.89,-4.31,34.4,-30.65,223
2,car,31.42,57,9,11.82,-0.21,4.0,-5.0,1.23,46.07,18.03,23.8,160.49,-14.4,10.4,-32.0,230
4,car,88.94,106,81,7.15,0.37,3.0,-2.0,1.01,210.37,80.14,6.42,24.44,39.94,61.81,25.79,65
5,car,31.25,60,7,12.19,-0.18,16.0,-14.0,2.08,50.41,19.94,25.11,167.08,-12.66,12.4,-33.5,299
6,car,53.69,79,42,9.79,0.14,2.0,-4.0,1.13,99.46,71.45,11.83,50.16,7.29,32.78,-8.71,169
7,car,21.21,31,14,3.9,-0.03,7.0,-7.0,1.21,26.63,13.85,28.07,160.65,-24.97,-12.05,-36.92,155
8,car,81.44,140,59,22.02,0.44,4.0,-5.0,1.55,94.17,22.07,12.7,77.98,35.49,92.4,9.0,140
9,car,48.64,102,22,18.65,0.17,5.0,-5.0,1.32,75.42,21.48,19.48,144.37,4.27,63.85,-24.5,281
10,car,66.49,114,48,17.14,0.35,4.0,-11.0,1.9,86.3,33.57,14.52,116.81,20.09,67.78,-2.71,169
11,bus,72.95,92,64,6.05,0.65,9.0,-3.0,2.34,281.96,1.07,17.02,57.09,21.46,43.05,10.79,37
13,car,55.76,99,33,16.23,0.17,6.0,-9.0,2.06,105.99,1.71,25.49,174.82,9.54,59.04,-10.71,200
14,truck,13.49,20,6,3.68,0.11,4.0,-3.0,1.35,20.62,6.94,48.61,178.88,-32.92,-19.85,-50.21,91
15,car,78.02,143,52,24.36,0.35,9.0,-9.0,2.75,84.5,22.07,24.56,169.99,31.63,92.64,2.0,163
16,car,41.53,107,10,21.77,0.08,7.0,-8.0,2.23,65.03,2.61,35.74,176.57,-1.49,63.7,-36.13,396
17,car,10.78,17,5,4.11,0.13,2.0,-2.0,0.99,20.83,2.92,25.3,131.18,-34.04,-19.04,-47.71,54
18,car,19.05,37,6,7.51,0.17,4.0,-3.0,1.4,34.12,27.4,14.52,113.84,-26.82,-6.05,-46.21,93
19,car,15.96,22,9,4.15,-0.57,1.0,-3.0,1.08,20.82,12.16,39.94,174.39,-34.66,-25.76,-40.14,23
20,truck,36.13,76,13,14.2,0.03,15.0,-15.0,2.36,105.42,1.02,23.8,176.13,-7.11,35.55,-30.89,298
21,car,76.82,80,74,1.66,0.18,4.0,-3.0,2.18,33.43,31.94,67.24,157.15,26.12,31.4,19.86,11
31,bus,47.66,112,17,26.55,-0.33,4.0,-4.0,1.39,51.45,3.64,39.46,179.9,3.5,58.35,-23.81,266
32,car,47.34,110,5,26.45,-0.13,9.0,-8.0,2.15,51.04,2.7,34.44,173.57,3.36,60.0,-34.62,269
49,car,37.65,103,5,21.4,0.22,20.0,-20.0,2.65,75.76,4.05,27.86,169.23,-4.36,59.03,-44.23,399
58,car,57.82,126,22,28.33,-0.5,4.0,-7.0,1.44,69.16,5.14,25.82,170.22,14.27,81.81,-15.0,200
59,bus,6.93,11,5,1.7,0.6,6.0,-3.0,1.85,72.71,62.89,61.99,178.51,-36.58,-25.86,-44.5,42
68,car,21.47,39,5,13.09,0.04,4.0,-3.0,1.38,17.8,12.19,24.76,141.1,-23.95,-5.04,-42.0,49
70,car,15.22,26,5,6.18,0.05,15.0,-6.0,3.16,21.08,13.84,33.6,173.69,-30.09,-16.77,-43.38,65
76,van,49.83,107,16,22.43,-0.26,6.0,-6.0,1.64,71.71,17.36,31.08,176.82,7.46,63.5,-24.47,258
83,car,54.32,152,5,32.09,0.39,18.0,-7.0,2.34,41.33,3.18,43.1,179.91,12.52,103.58,-32.42,314
94,car,41.21,105,12,22.46,0.27,17.0,-15.0,2.34,61.98,6.03,51.45,179.64,-0.65,60.49,-38.14,316
98,car,20.76,40,9,8.83,0.12,17.0,-14.0,2.19,24.69,17.22,26.97,114.46,-23.13,-4.04,-39.92,119
108,bus,29.37,67,5,14.72,-0.07,15.0,-6.0,2.0,67.39,6.2,40.34,179.98,-12.57,21.64,-40.04,411
110,car,39.39,103,5,23.34,-0.17,16.0,-17.0,3.47,43.97,4.51,38.31,174.74,-2.54,58.83,-38.63,387
116,car,55.9,163,6,31.78,-0.49,19.0,-12.0,3.47,49.65,2.73,38.19,179.18,14.77,113.37,-33.71,212
124,car,30.24,33,23,2.72,0.33,4.0,-2.0,1.74,29.5,24.62,47.97,151.26,-18.81,-14.22,-26.04,21
126,car,47.21,99,13,21.55,-0.27,4.0,-4.0,1.38,44.6,7.93,29.78,174.82,5.95,50.57,-31.67,273
127,car,24.82,118,5,27.37,-0.22,10.0,-8.0,3.48,16.63,3.8,70.1,179.45,-15.04,64.86,-33.96,112
146,van,57.21,155,25,29.33,-0.45,7.0,-9.0,1.79,38.82,2.67,42.29,176.71,17.29,106.13,-17.47,216
153,van,41.68,96,14,20.86,-0.14,15.0,-12.0,2.14,53.63,1.18,37.41,179.43,0.81,51.22,-31.42,329
156,car,19.06,23,14,2.27,0.19,4.0,-4.0,1.39,33.07,19.08,42.42,161.06,-25.19,-18.04,-34.04,36
171,car,35.08,107,11,18.81,-0.23,4.0,-5.0,1.22,66.85,6.76,25.43,168.27,-5.4,63.24,-30.97,306
178,truck,12.06,18,8,2.54,-0.24,5.0,-6.0,2.84,16.99,3.93,70.88,176.36,-26.97,-21.15,-31.88,17
185,car,22.5,32,16,4.68,-0.33,2.0,-4.0,1.42,24.02,21.61,36.95,167.39,-16.98,-5.48,-24.44,30
186,car,15.28,21,7,4.13,-0.03,7.0,-5.0,2.99,20.78,19.3,56.9,175.48,-23.99,-17.12,-32.74,32
189,car,51.58,97,13,20.51,-0.27,12.0,-12.0,2.11,58.81,6.91,25.93,178.67,11.79,55.15,-31.67,212
190,car,51.44,163,8,29.97,-0.39,12.0,-5.0,1.87,45.17,3.33,30.33,168.86,10.79,122.18,-36.75,243
192,car,32.73,34,28,2.0,0.64,2.0,-1.0,1.03,27.57,27.15,12.86,42.03,-7.67,-4.14,-13.89,11
195,car,16.52,33,5,6.19,0.3,9.0,-8.0,3.02,11.35,3.51,61.0,175.68,-21.15,-3.37,-34.23,82
197,car,15.42,21,10,3.4,-0.21,3.0,-3.0,1.21,34.27,19.43,15.77,87.76,-21.96,-15.07,-28.29,38
199,car,63.99,143,28,31.58,0.58,3.0,-5.0,1.24,81.89,17.59,19.55,142.12,24.21,100.27,-10.87,185
202,car,12.14,22,5,5.43,0.29,8.0,-8.0,2.72,19.63,8.58,54.6,173.94,-26.47,-14.84,-38.69,76
211,car,50.22,118,5,27.7,-0.54,20.0,-20.0,9.12,22.19,7.26,44.61,155.8,11.47,76.41,-31.85,50
213,car,12.63,24,5,4.28,0.36,14.0,-8.0,3.82,23.07,3.64,62.24,177.11,-26.23,-13.0,-34.31,67
215,bus,14.65,25,6,5.11,-0.01,10.0,-12.0,4.22,37.0,1.58,77.87,179.21,-23.95,-11.17,-34.31,72
216,van,43.78,150,5,30.41,-0.06,14.0,-15.0,2.84,38.94,1.24,39.94,179.59,3.06,110.77,-39.88,300
217,car,11.5,19,5,4.85,0.66,6.0,-5.0,2.55,11.52,2.92,41.08,178.42,-25.24,-16.74,-34.48,32
220,car,38.96,93,13,20.24,0.24,10.0,-10.0,1.53,83.7,19.1,24.45,175.25,-2.42,51.41,-29.33,289
223,car,22.48,29,17,3.39,-0.1,3.0,-3.0,1.45,19.18,2.32,41.35,134.31,-15.79,-5.89,-26.31,42
224,car,33.89,91,13,18.67,0.14,14.0,-13.0,2.25,71.13,22.51,29.13,179.75,-6.59,51.32,-31.66,419
231,van,38.98,92,10,20.61,-0.1,19.0,-8.0,2.14,60.56,4.61,37.15,178.68,-1.89,56.0,-26.97,338
245,car,30.22,109,7,17.99,-0.14,17.0,-17.0,1.97,54.43,10.7,28.04,178.14,-10.65,64.66,-36.31,483
247,car,55.91,152,7,30.35,-0.35,16.0,-12.0,3.54,47.04,1.24,42.64,179.54,13.42,107.96,-35.36,201
248,car,51.18,137,5,33.23,0.49,13.0,-10.0,3.24,56.54,1.04,42.29,179.57,10.06,100.86,-36.82,240
254,car,76.0,145,5,29.45,1.08,12.0,-12.0,2.94,82.12,1.27,20.82,158.23,33.4,99.17,-35.97,130
256,car,51.27,147,17,29.84,0.27,7.0,-7.0,1.88,65.24,20.4,26.68,179.53,10.13,100.94,-27.47,333
259,car,16.98,31,5,7.74,0.16,14.0,-15.0,4.61,16.02,5.46,71.2,177.43,-24.7,-9.77,-37.76,55
265,car,42.49,113,13,24.28,0.31,5.0,-4.0,1.3,65.92,20.61,25.29,173.98,1.4,72.88,-29.3,298
267,car,74.34,144,5,32.02,1.1,16.0,-9.0,3.35,93.25,4.77,26.75,175.7,31.49,105.3,-35.28,125
268,car,58.23,105,33,20.61,-0.27,12.0,-4.0,1.64,53.58,1.27,25.3,154.58,15.95,64.9,-13.04,190
273,car,20.14,32,5,7.56,0.38,10.0,-15.0,4.17,23.01,19.74,50.7,173.07,-22.22,-11.58,-36.94,72
274,car,12.86,15,10,1.66,0.29,4.0,-2.0,1.82,19.51,17.86,47.57,137.61,-28.01,-24.1,-32.47,14
275,car,16.21,31,5,6.21,0.21,11.0,-10.0,4.65,19.61,11.84,47.89,175.35,-25.65,-9.17,-37.58,77
276,car,28.07,34,20,3.41,-0.13,8.0,-10.0,4.97,18.04,3.61,38.04,125.32,-13.59,-8.26,-22.81,15
277,van,61.05,103,13,21.33,-0.56,6.0,-13.0,2.06,45.77,4.76,38.99,178.14,18.92,62.9,-26.8,149
278,bus,31.96,71,8,15.75,0.18,5.0,-7.0,1.48,48.76,1.01,57.82,173.36,-8.96,32.79,-32.5,303
286,car,85.97,151,43,29.7,0.84,7.0,-6.0,1.92,86.91,10.33,15.18,95.27,42.75,104.53,3.0,110
291,car,68.54,140,29,28.73,0.69,6.0,-9.0,1.8,87.84,3.2,26.18,178.22,25.73,99.41,-16.71,153
303,car,30.87,52,9,12.81,-0.28,7.0,-9.0,1.83,20.45,17.07,28.44,175.74,-11.75,8.56,-27.71,75
306,car,41.29,121,16,19.92,-0.26,15.0,-16.0,2.12,59.42,10.7,32.73,174.07,0.76,77.39,-21.22,310
314,bus,34.33,80,5,24.37,2.2,17.0,-16.0,8.74,20.03,1.87,71.53,171.63,-8.46,36.72,-39.4,15
321,car,19.78,30,5,6.42,0.02,4.0,-7.0,2.69,23.82,19.01,61.08,171.03,-23.57,-12.42,-42.34,41
336,car,64.47,121,30,26.37,-0.46,5.0,-4.0,1.6,54.54,3.69,25.87,157.09,22.5,77.72,-10.3,173
338,car,34.1,59,18,12.42,-0.22,20.0,-20.0,4.34,19.63,11.84,48.97,174.98,-7.3,12.66,-18.71,60
341,bus,5.73,7,5,0.79,0.36,2.0,-1.0,1.12,63.74,61.87,68.34,156.91,-35.15,-33.21,-39.12,11
342,car,76.78,142,30,29.52,0.72,9.0,-6.0,1.93,120.29,22.98,19.95,149.03,34.34,100.79,-15.11,134
353,car,18.37,28,6,5.28,-0.15,3.0,-3.0,1.24,19.17,15.47,51.42,165.24,-24.16,-15.63,-37.44,99
355,truck,37.23,86,5,16.51,0.37,15.0,-15.0,4.38,97.45,1.03,43.64,176.98,-2.85,43.9,-40.29,262
359,car,30.45,60,13,13.69,0.0,18.0,-20.0,2.69,25.66,2.91,39.13,176.21,-10.1,17.48,-30.42,167
361,van,55.65,152,5,32.88,-0.45,5.0,-6.0,1.85,40.44,2.96,39.52,176.04,15.25,105.34,-37.05,218
365,car,19.91,26,10,5.01,0.74,4.0,-2.0,1.36,26.38,23.71,29.81,167.81,-23.32,-11.86,-36.34,23
372,car,15.56,34,5,6.35,0.27,15.0,-11.0,3.81,17.06,10.78,57.75,171.62,-25.45,-7.13,-39.74,104
378,truck,17.9,48,7,6.48,0.02,5.0,-8.0,1.38,43.68,23.93,32.19,175.69,-21.8,5.5,-40.11,468
383,car,42.78,112,15,25.46,-0.29,8.0,-8.0,1.53,53.21,1.01,27.1,174.39,2.96,70.44,-33.44,317
391,car,20.62,23,19,1.12,0.08,2.0,-2.0,1.12,12.48,6.32,51.51,126.06,-23.56,-18.08,-26.83,13
401,car,12.73,19,7,2.46,-0.04,3.0,-8.0,1.64,18.33,7.17,63.18,176.62,-28.35,-20.9,-36.44,71
403,car,77.79,149,33,37.99,-0.67,4.0,-6.0,1.71,52.16,1.04,18.53,109.75,37.91,106.89,-12.35,129
416,car,29.14,31,24,1.96,-0.71,3.0,-5.0,2.27,14.67,3.94,45.38,171.59,-13.44,-10.58,-18.54,14
428,car,28.47,42,12,7.73,0.35,20.0,-4.0,3.14,22.5,9.88,34.96,178.87,-10.87,6.39,-28.59,66
431,car,24.19,30,16,2.87,-0.27,2.0,-4.0,1.71,20.34,14.96,43.21,144.25,-17.75,-11.19,-26.3,26
448,car,15.87,24,5,6.4,-1.47,5.0,-8.0,3.34,33.2,22.62,72.95,173.49,-24.05,-15.28,-34.04,15
450,car,14.57,17,11,1.4,-0.29,1.0,-2.0,0.96,14.52,3.68,32.91,160.4,-24.34,-18.86,-28.3,21
459,car,110.85,198,60,37.64,2.95,20.0,-10.0,7.78,52.59,37.45,36.39,97.06,69.33,146.79,20.63,20
461,car,21.89,27,17,1.91,0.05,3.0,-4.0,1.53,16.3,15.04,33.43,117.48,-15.36,-10.11,-22.68,37
465,car,15.0,20,7,3.54,-0.56,6.0,-3.0,2.71,22.64,14.15,80.27,176.48,-22.86,-17.68,-30.14,16
475,car,14.91,23,5,5.61,1.73,6.0,-3.0,2.83,12.52,4.61,59.51,179.85,-22.09,-11.79,-32.68,11
478,car,12.81,17,7,2.53,-0.12,2.0,-2.0,1.21,18.09,15.98,25.02,171.04,-23.3,-17.79,-30.77,26
483,car,16.84,29,5,8.8,-0.72,4.0,-3.0,1.77,20.91,12.5,38.01,127.51,-19.29,-7.64,-36.71,25
